City,Country,Continent,Longitude,Latitude,-500,0,600,1000,1300,1500,1700,1800,1850,1900,1950,2000,Current
Tokyo,Japan,Asia,139.6917,35.6895,0,0,0,0,17500,52500,641428,717900,768416,1574356,9882266,31510353,37468000
Jakarta,Indonesia,Asia,106.8456,-6.2088,0,0,0,0,0,0,33895,52800,62500,139700,1890480,13623600,33517000
Chongqing,China,Asia,106.5516,29.563,0,0,0,0,0,27500,27501,53000,83000,247400,1250500,6308600,32838000
Shanghai,China,Asia,121.4737,31.2304,0,0,0,0,0,0,45000,93333,155000,505511,5406000,11901111,29867900
Guangzhou,China,Asia,113.2644,23.1291,0,0,94083,43000,148333,157142,194444,800000,884615,720000,1501750,9257000,26638000
Manila,Philippines,Asia,120.9842,14.5995,0,0,0,0,20000,33333,46666,77000,101600,165000,2025000,12898000,25482000
Seoul,South Korea,Asia,126.978,37.5665,0,0,0,0,0,125000,161000,216400,185714,195666,2860333,12732428,24963000
Beijing,China,Asia,116.4074,39.9042,16041,32083,79500,50000,463571,690400,605714,1090000,1552461,1027612,2425000,10264333,22189100
Chengdu,China,Asia,104.0665,30.5728,0,160268,70574,63333,54000,80000,50000,97000,178571,284000,586333,4689400,20813000
Osaka,Japan,Asia,135.5023,34.6937,0,0,4636,13909,20863,90500,372461,384875,332857,746120,4675222,15385300,19281000
Ho Chi Minh City,Vietnam,Asia,106.6297,10.8231,0,0,0,0,0,0,0,35500,50000,135000,1359666,5890200,15145000
Tianjin,China,Asia,117.3616,39.3434,0,0,0,0,0,30500,70000,130000,177857,601500,2020250,6770500,13215000
Bangkok,Thailand,Asia,100.5018,13.7563,0,0,0,0,0,0,0,45000,133666,294250,1491666,5958400,10156000
Nanjing,China,Asia,118.7969,32.0603,0,51000,160000,73000,113000,148000,154428,50000,50000,329000,1161250,3991600,8245000
Wuhan,China,Asia,114.3054,30.5928,0,0,70000,67875,82666,64250,99285,156666,178571,1546333,2526000,5456800,8176000
Kuala Lumpur,Malaysia,Asia,101.6869,3.139,0,0,0,0,0,0,0,0,0,47000,2173333,4299666,7564000
Xi'an,China,Asia,108.9398,34.3416,135000,567000,324375,260000,113500,125250,161166,221200,268142,250250,437333,3930200,7444000
Hong Kong,Hong Kong,Asia,114.1694,22.3193,0,0,0,0,0,0,0,0,66500,192000,2112500,5801000,7429000
Hangzhou,China,Asia,120.1551,30.2741,0,0,60000,80000,538222,250000,297727,383625,426800,348800,489000,4301800,7236000
Shenyang,China,Asia,123.4315,41.8057,0,0,0,0,0,27500,65000,30000,30000,162666,1082750,4839800,6921000
Suzhou,China,Asia,120.5853,31.2989,63333,65000,95000,86333,86333,121750,136666,238000,318000,357500,414000,2245575,6339000
Singapore,Singapore,Asia,103.8198,1.3521,0,0,0,0,0,0,0,0,62500,193000,1150000,4326750,5792000
Fukuoka,Japan,Asia,130.4017,33.5902,0,0,0,57,100,30000,45000,40000,42000,66600,398050,2134666,5551000
Yangon,Myanmar,Asia,96.1735,16.8409,0,0,0,0,0,0,0,30000,62500,229000,1075333,4063600,5157000
Jinan,China,Asia,117.1201,36.6512,0,0,0,0,0,39500,55000,65000,70000,145000,517000,2628000,5052000
